stnID,stnName,lowConf,highConf,projectDate,method,projectMethodID,projectMethod,quad_enso_fit,quad_enso_coef_pval,quad_enso_pval,quad_enso_pred,quad_enso_rmse,quad_fit,quad_coef_pval,quad_pval,quad_pred,quad_rmse,lin_enso_fit,lin_enso_coef_pval,lin_enso_pval,lin_enso_pred,lin_enso_rmse,lin_fit,lin_coef_pval,lin_pval,lin_pred,lin_rmse,no_t_quad_fit,no_t_quad_coef_pval,no_t_quad_pval,no_t_quad_pred,no_t_quad_rmse,no_t_lin_fit,no_t_lin_coef_pval,no_t_lin_pval,no_t_lin_pred,no_t_lin_rmse,avg19,stdev19,pred_2k
1611400.0,"NAWILIWILI, HI",5,12,06/20/2024,Quad ENSO,4,Quadratic With ENSO Sensitivity,"{'Intercept': 18181.215615720314, 'np.power(x, 2)': 0.004652477880644599, 'x': -18.394731793933826, 'z': -113.2366937395786, 'x:z': 0.057282506553788214, 'np.power(z, 2)': 0.1879717751218849}","{'Intercept': 0.001, 'np.power(x, 2)': 0.0, 'x': 0.0, 'z': 0.058, 'x:z': 0.057, 'np.power(z, 2)': 0.771}",3.3101169802303053e-06,8.20313435891876,3.6690278142828796,"{'Intercept': 18361.646837549142, 'np.power(x, 2)': 0.00469783749384682, 'x': -18.575627593354234}","{'Intercept': 0.001, 'np.power(x, 2)': 0.0, 'x': 0.001}",7.831665728199555e-07,9.624917793204077,3.83598310882044,"{'Intercept': -213.76346285771936, 'x': 0.10840115836819801, 'z': 0.7759442557608003}","{'Intercept': 0.0, 'x': 0.0, 'z': 0.244}",0.00017670958594378288,5.252509551633011,4.159126678998562,"{'Intercept': -212.30600997288084, 'x': 0.10767211967456919}","{'Intercept': 0.0, 'x': 0.0}",6.222077696699798e-05,5.622360248447194,4.201858241576577,"{'Intercept': 1.4268130083577786, 'np.power(z, 2)': 0.6197791807085367, 'z': 0.5126698184309086}","{'Intercept': 0.058, 'np.power(z, 2)': 0.438, 'z': 0.514}",0.47325622221062436,1.3254228943194584,4.679116765977384,"{'Intercept': 1.7929408368019633, 'z': 0.7059163198036715}","{'Intercept': 0.002, 'z': 0.343}",0.34330882963367726,1.4399826769001276,4.700286336531546,5.105263157894737,7.929514044533634,1.7416262279548391
1612340.0,"Honolulu, HI",5,16,06/20/2024,Quad,3,Quadratic,"{'Intercept': 15247.17508609302, 'np.power(x, 2)': 0.003924131586305757, 'x': -15.470202066931268, 'z': 104.7830369330544, 'x:z': -0.05299057690396045, 'np.power(z, 2)': -0.6935560638424461}","{'Intercept': 0.018, 'np.power(x, 2)': 0.016, 'x': 0.017, 'z': 0.206, 'x:z': 0.203, 'np.power(z, 2)': 0.461}",0.0006631988692494309,12.050936270545208,5.361569589085607,"{'Intercept': 15519.702478805848, 'np.power(x, 2)': 0.003991861363886524, 'x': -15.742138356810743}","{'Intercept': 0.016, 'np.power(x, 2)': 0.015, 'x': 0.016}",9.922231835979151e-05,10.577903245706693,5.495446568294004,"{'Intercept': -228.1717718629331, 'x': 0.11606811512605557, 'z': -0.8340434048528678}","{'Intercept': 0.001, 'x': 0.0, 'z': 0.353}",0.001274872463731194,7.167114854629801,5.696665237731519,"{'Intercept': -231.08869307663923, 'x': 0.11752684191040401}","{'Intercept': 0.0, 'x': 0.0}",0.0003964113311899905,6.785634950018476,5.7316792698797485,"{'Intercept': 2.6627711500500792, 'np.power(z, 2)': -0.4586437880809332, 'z': -0.8566993616289131}","{'Intercept': 0.006, 'np.power(z, 2)': 0.662, 'z': 0.403}",0.5392776269583945,2.976459883844303,6.203138572794373,"{'Intercept': 2.4012287618957147, 'z': -0.9946637531075326}","{'Intercept': 0.002, 'z': 0.306}",0.30562402368542074,2.898560638449481,6.211572297134388,6.2105263157894735,10.752668647407289,2.871220730459754
1612480.0,"MOKUOLOE, HI",3,14,06/20/2024,Lin,1,Linear,"{'Intercept': 29130.6423817841, 'np.power(x, 2)': 0.007384874125705446, 'x': -29.333641486390178, 'z': 123.43338534200515, 'x:z': -0.06173584617048143, 'np.power(z, 2)': -1.293289093907158}","{'Intercept': 0.264, 'np.power(x, 2)': 0.256, 'x': 0.26, 'z': 0.508, 'x:z': 0.507, 'np.power(z, 2)': 0.301}",0.046788913455725216,12.486781096336927,5.67206909675536,"{'Intercept': 28797.82061323324, 'np.power(x, 2)': 0.007297808359518032, 'x': -28.993465129535654}","{'Intercept': 0.261, 'np.power(x, 2)': 0.254, 'x': 0.258}",0.008453840408840299,11.073769254016952,5.822019179555859,"{'Intercept': -429.63696154344586, 'x': 0.21646939042678803, 'z': -0.6300326821126654}","{'Intercept': 0.005, 'x': 0.005, 'z': 0.593}",0.014133248553226724,8.812101021429442,5.895453800526554,"{'Intercept': -436.0393234672338, 'x': 0.21966173361522362}","{'Intercept': 0.004, 'x': 0.004}",0.0038945501529609387,8.556025369978784,5.91625074446818,"{'Intercept': 4.260590187553306, 'np.power(z, 2)': -1.0216929541854631, 'z': -0.4899227989313198}","{'Intercept': 0.002, 'np.power(z, 2)': 0.451, 'z': 0.727}",0.5838437236437066,4.250128348472599,6.455549368316027,"{'Intercept': 3.632330384459129, 'z': -0.9139299068907479}","{'Intercept': 0.001, 'z': 0.476}",0.47604825974868814,4.089295337904503,6.50093664038425,5.842105263157895,8.381614521576621,3.2841437632134216
1615680.0,"KAHULUI, HI",7,15,06/20/2024,Quad,3,Quadratic,"{'Intercept': 19652.567058441677, 'np.power(x, 2)': 0.0050327955042547305, 'x': -19.890731274851504, 'z': 27.799216780171317, 'x:z': -0.014051939766789475, 'np.power(z, 2)': -0.09314279431385092}","{'Intercept': 0.001, 'np.power(x, 2)': 0.001, 'x': 0.001, 'z': 0.679, 'x:z': 0.677, 'np.power(z, 2)': 0.901}",2.913269266358466e-05,11.253902735385054,4.170663313485138,"{'Intercept': 19659.49374995033, 'np.power(x, 2)': 0.005034376839135436, 'x': -19.897382486878488}","{'Intercept': 0.001, 'np.power(x, 2)': 0.0, 'x': 0.0}",5.346466591262095e-07,10.898930666353408,4.180301859548133,"{'Intercept': -231.37375089913414, 'x': 0.11751265640316509, 'z': -0.26778510244912984}","{'Intercept': 0.0, 'x': 0.0, 'z': 0.72}",0.00025597707068282364,6.6057582120965606,4.5900322544102075,"{'Intercept': -232.70069588209935, 'x': 0.11817395182082124}","{'Intercept': 0.0, 'x': 0.0}",4.766639683422514e-05,6.4833826032428306,4.594536994831864,"{'Intercept': 2.108484655995293, 'np.power(z, 2)': 0.3329550218023008, 'z': -0.5957826737424411}","{'Intercept': 0.012, 'np.power(z, 2)': 0.712, 'z': 0.507}",0.7923715554113582,2.4896147483170887,5.184484169119859,"{'Intercept': 2.2969927809347093, 'z': -0.48145222080482447}","{'Intercept': 0.001, 'z': 0.565}",0.5651470163720119,2.5377188913371214,5.189870870890094,6.368421052631579,8.668016089277673,2.2361327350990905
1617433.0,"Kawaihae, HI",14,31,06/20/2024,Quad,3,Quadratic,"{'Intercept': 129206.70414567746, 'np.power(x, 2)': 0.03240204210669906, 'x': -129.4073956930332, 'z': 158.0752380899986, 'x:z': -0.07886005282659755, 'np.power(z, 2)': -1.133547390459733}","{'Intercept': 0.078, 'np.power(x, 2)': 0.075, 'x': 0.076, 'z': 0.704, 'x:z': 0.704, 'np.power(z, 2)': 0.593}",0.011517204208451174,24.0486758389452,8.397135230748171,"{'Intercept': 131760.86292246715, 'np.power(x, 2)': 0.03302844479310218, 'x': -131.9375714903178}","{'Intercept': 0.055, 'np.power(x, 2)': 0.053, 'x': 0.054}",0.000598460055009379,22.752482811250957,8.485694933980195,"{'Intercept': -1141.8268161934482, 'x': 0.5717558089004912, 'z': -0.12258710931776891}","{'Intercept': 0.001, 'x': 0.001, 'z': 0.952}",0.003976804351358891,15.4682345758049,9.003067579499799,"{'Intercept': -1143.419047619044, 'x': 0.5725490196078414}","{'Intercept': 0.001, 'x': 0.001}",0.0008048978250554948,15.420168067226996,9.003574942471346,"{'Intercept': 5.401138269768522, 'np.power(z, 2)': -0.46101744206231854, 'z': -0.534118861675957}","{'Intercept': 0.033, 'np.power(z, 2)': 0.855, 'z': 0.842}",0.938226280067841,5.552943340090921,10.679223551972074,"{'Intercept': 5.120619766387541, 'z': -0.7389727452130782}","{'Intercept': 0.01, 'z': 0.758}",0.7578614062533408,5.490106138994079,10.684891538402763,8.789473684210526,13.562935389297886,-0.5008857597131282
1617760.0,"HILO, HI",12,26,06/20/2024,Quad,3,Quadratic,"{'Intercept': 27388.957091150896, 'np.power(x, 2)': 0.007048581560160225, 'x': -27.788776133858114, 'z': -8.173932624511874, 'x:z': 0.004572248849308351, 'np.power(z, 2)': -1.1769527340747543}","{'Intercept': 0.001, 'np.power(x, 2)': 0.001, 'x': 0.001, 'z': 0.938, 'x:z': 0.931, 'np.power(z, 2)': 0.33}",2.9516697163395364e-06,18.689861910243053,6.868370039529699,"{'Intercept': 27553.474031055288, 'np.power(x, 2)': 0.007087693316963788, 'x': -27.949631390577743}","{'Intercept': 0.001, 'np.power(x, 2)': 0.001, 'x': 0.001}",6.75328399001146e-08,18.694434160181117,6.9300414276604005,"{'Intercept': -414.62861926096167, 'x': 0.2107777656232079, 'z': 0.5738240788066326}","{'Intercept': 0.0, 'x': 0.0, 'z': 0.626}",1.7871199613289252e-05,11.698666321007806,7.4964820002861146,"{'Intercept': -412.6217697149219, 'x': 0.20977415771936392}","{'Intercept': 0.0, 'x': 0.0}",3.0538446336822024e-06,11.961125509070655,7.509104713064188,"{'Intercept': 4.356597957033897, 'np.power(z, 2)': -0.47081836601925603, 'z': 0.4237668189260225}","{'Intercept': 0.002, 'np.power(z, 2)': 0.75, 'z': 0.769}",0.9299632408681248,4.027009956066072,8.735432922428862,"{'Intercept': 4.088112995423814, 'z': 0.28214019919877104}","{'Intercept': 0.0, 'z': 0.836}",0.8358460234607352,3.9470428958244286,8.74174599002273,11.157894736842104,14.663875332465217,4.98451775495414
1619910.0,MIDWAY ISLAND,7,14,06/20/2024,Quad,3,Quadratic,"{'Intercept': 8359.99824101318, 'np.power(x, 2)': 0.0021695306685652403, 'x': -8.516633611251274, 'z': -21.110154044975857, 'x:z': 0.010706649315099553, 'np.power(z, 2)': 0.24819508582199284}","{'Intercept': 0.075, 'np.power(x, 2)': 0.068, 'x': 0.072, 'z': 0.701, 'x:z': 0.698, 'np.power(z, 2)': 0.68}",6.507584062145277e-05,9.761076635979407,3.4112291875215606,"{'Intercept': 8406.542174788807, 'np.power(x, 2)': 0.002181460459260491, 'x': -8.563692041422547}","{'Intercept': 0.068, 'np.power(x, 2)': 0.062, 'x': 0.065}",1.589418167854668e-06,10.148045305075357,3.4275636926041577,"{'Intercept': -218.82458967072373, 'x': 0.11221340246451, 'z': 0.25245843312975774}","{'Intercept': 0.0, 'x': 0.0, 'z': 0.652}",8.347574796209287e-06,8.169107700879664,3.5134729203036024,"{'Intercept': -218.35039804041642, 'x': 0.11197620505642553}","{'Intercept': 0.0, 'x': 0.0}",1.342912349060887e-06,8.289440993788844,3.5188509855697294,"{'Intercept': 3.9906500089856576, 'np.power(z, 2)': 0.5448022632405909, 'z': 0.01009898298934645}","{'Intercept': 0.0, 'np.power(z, 2)': 0.444, 'z': 0.988}",0.7173961790624742,4.121801083301133,4.162759953566041,"{'Intercept': 4.31248603668785, 'z': 0.1799677597863486}","{'Intercept': 0.0, 'z': 0.785}",0.7852975160528334,4.222502156794675,4.181147408209707,7.368421052631579,4.572994719191614,4.999928985678707
1630000.0,"APRA HARBOR, GUAM",4,17,06/20/2024,Lin ENSO,2,Linear With ENSO Sensitivity,"{'Intercept': 6528.770640454736, 'np.power(x, 2)': 0.001745807196875287, 'x': -6.754014939970353, 'z': 274.1121275323556, 'x:z': -0.13799065975119526, 'np.power(z, 2)': -0.8179289197981993}","{'Intercept': 0.761, 'np.power(x, 2)': 0.745, 'x': 0.753, 'z': 0.135, 'x:z': 0.132, 'np.power(z, 2)': 0.53}",0.008963584154733698,12.862266973400438,6.232922200239497,"{'Intercept': 3793.604366172331, 'np.power(x, 2)': 0.0010606370207658354, 'x': -4.016243135552423}","{'Intercept': 0.864, 'np.power(x, 2)': 0.848, 'x': 0.856}",0.00935742609978797,9.708423795049384,6.692683778990412,"{'Intercept': -432.18915595200946, 'x': 0.21804616248177158, 'z': -2.2443137193521636}","{'Intercept': 0.002, 'x': 0.002, 'z': 0.076}",0.0019352173863478358,10.258433770772285,6.46727704176477,"{'Intercept': -444.49010204081617, 'x': 0.2241836734693877}","{'Intercept': 0.002, 'x': 0.002}",0.0021584471174617734,9.257653061224516,6.695369265096711,"{'Intercept': 4.12675075297187, 'np.power(z, 2)': -0.7400480107021713, 'z': -2.1925438030786513}","{'Intercept': 0.003, 'np.power(z, 2)': 0.599, 'z': 0.135}",0.18515250076300274,5.038010651835653,7.141383095488618,"{'Intercept': 3.687973960075833, 'z': -2.4438914910226393}","{'Intercept': 0.001, 'z': 0.077}",0.0769972362579587,4.909919705587153,7.163148532830027,8.631578947368421,10.144569024939129,3.8772448979592014
1770000.0,"PAGO PAGO, AMERICAN SAMOA",4,7,06/20/2024,Quad,3,Quadratic,"{'Intercept': 24288.76023433802, 'np.power(x, 2)': 0.006120548233208791, 'x': -24.38553782276608, 'z': 72.0462658829517, 'x:z': -0.03608361959748338, 'np.power(z, 2)': -0.25094284512974835}","{'Intercept': 0.0, 'np.power(x, 2)': 0.0, 'x': 0.0, 'z': 0.116, 'x:z': 0.115, 'np.power(z, 2)': 0.398}",9.137081479449942e-07,6.153434444906452,1.3590208211119004,"{'Intercept': 24157.886353201382, 'np.power(x, 2)': 0.006084922258131966, 'x': -24.24891131117286}","{'Intercept': 0.0, 'np.power(x, 2)': 0.0, 'x': 0.0}",7.770065264480939e-08,5.4363439167282195,1.4364343663435801,"{'Intercept': -173.0265601191481, 'x': 0.08693821808223803, 'z': -0.15457987975714782}","{'Intercept': 0.0, 'x': 0.0, 'z': 0.659}",0.00030586854748229327,3.013683219180251,1.7413777851990695,"{'Intercept': -174.19348404255152, 'x': 0.08751794157379181}","{'Intercept': 0.0, 'x': 0.0}",5.7588911513027667e-05,2.9428297028030954,1.745373289488088,"{'Intercept': 0.9189578031645222, 'np.power(z, 2)': -0.17961956117022365, 'z': -0.17971731126672702}","{'Intercept': 0.027, 'np.power(z, 2)': 0.676, 'z': 0.693}",0.7605835740831223,0.9639115685053299,2.0886262098790596,"{'Intercept': 0.8170636233767282, 'z': -0.25431594579543343}","{'Intercept': 0.013, 'z': 0.541}",0.540564111297767,0.9442215962744449,2.092933588167595,2.0555555555555554,3.0384249445709286,-0.24723661648022244
1820000.0,"KWAJALEIN Island, US",78,97,06/20/2024,Quad ENSO,4,Quadratic With ENSO Sensitivity,"{'Intercept': 61171.99414124009, 'np.power(x, 2)': 0.015878046305475783, 'x': -62.32323918649106, 'z': 650.6288284840639, 'x:z': -0.33380275004938564, 'np.power(z, 2)': -2.4502883481565143}","{'Intercept': 0.072, 'np.power(x, 2)': 0.063, 'x': 0.067, 'z': 0.025, 'x:z': 0.022, 'np.power(z, 2)': 0.23}",3.9864100851041093e-16,87.26284640385711,9.704384526591234,"{'Intercept': 53922.58427881674, 'np.power(x, 2)': 0.014078184465275178, 'x': -55.099377410537514}","{'Intercept': 0.355, 'np.power(x, 2)': 0.335, 'x': 0.345}",2.5445068961850157e-07,73.79700390793732,17.527133366150526,"{'Intercept': -2232.167644674922, 'x': 1.1358724465810282, 'z': -18.039179981564196}","{'Intercept': 0.0, 'x': 0.0, 'z': 0.0}",9.556773730832917e-17,75.85777719586122,10.934860122368741,"{'Intercept': -2331.039285714285, 'x': 1.1852040816326528}","{'Intercept': 0.0, 'x': 0.0}",4.86950988601009e-08,67.81377551020387,17.706911789313665,"{'Intercept': 39.0606881184716, 'np.power(z, 2)': -1.0194915151161787, 'z': -18.73258761050806}","{'Intercept': 0.0, 'np.power(z, 2)': 0.789, 'z': 0.0}",2.7176751086679022e-05,48.17210904494659,19.400403323507895,"{'Intercept': 38.45622839299654, 'z': -19.078844652615146}","{'Intercept': 0.0, 'z': 0.0}",4.155493126408772e-06,47.995650719304116,19.415625521927012,59.26315789473684,22.238210622617693,36.56731884243345
